SMILES,IC50,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cc(=O)[nH]c2ccccc12)C(=O)c1ccco1,2.28,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1n[nH]c2ccccc12)C(=O)c1ccco1,> 99.5,,,
Cc1ccncc1C(N(C(=O)c1ccco1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,0.112,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnc2ccccn12)C(=O)c1ccco1,37.5,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cncc2ccccc12)C(=O)c1ccco1,0.403,,,
Cn1nc(C(N(C(=O)c2ccco2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c2ccccc12,> 99.5,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1coc2ccccc12)C(=O)c1ccco1,> 99.5,,,
COc1cncc(C(N(C(=O)c2ccco2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c1C,> 99.5,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1snc2ccccc12)C(=O)c1ccco1,5.33,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccc(Cl)o1,0.315,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,0.2,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cc(=O)[nH]c2ccccc12)C(=O)c1cocn1,1.16,,,
CN1CCN(CC1)c1ncc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,> 99.5,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1c(nc2ccccn2c1=O)N1CCOCC1)C(=O)c1cocn1,> 99.5,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnccn1)C(=O)c1cocn1,1.21,,,
Cn1cc(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c(=O)n(C)c1=O,,,,
COc1ncncc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,8.43,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cncnc1)C(=O)c1cocn1,2.92,,,
COc1ncnc(OC)c1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,,,,
COc1nccnc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,94.9,,,
CN(C)c1ncc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,> 99.5,,,
CN(CCO)c1ccc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnc(nc1)N1CCOCC1)C(=O)c1cocn1,> 99.5,,,
Cn1cccc(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c1=O,> 99.5,,,
CN(C)c1cnc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1c[nH]c(=O)[nH]c1=O)C(=O)c1cocn1,,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cc2COCCc2[nH]c1=O)C(=O)c1cocn1,,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1ccc[nH]c1=O)C(=O)c1cocn1,> 99.5,,,
Cn1c(N2CCOCC2)c(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c(=O)n(C)c1=O,,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1ccnnc1)C(=O)c1cocn1,2.05,,,
COc1nc2ncc(cn2n1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,33.4,,,
Cn1cc(ccc1=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,> 99.5,,,
Cc1cc(O)c(C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c(=O)[nH]1,> 99.5,,,
Cc1ccncc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,0.653,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,0.557,,,
