SMILES,predicted_pIC50,df
COCc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,5.092065353427328,p4_picks
COCc1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,4.686690466364803,p4_picks
COc1cc(C)nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,4.8855063574000726,p4_picks
Cn1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,4.534392630089688,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc(C3CC3)no2)c2cccnc2)cc1,4.7932027854705614,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn3c(n2)SCC3)c2cccnc2)cc1,4.433867547293296,p4_picks
Cc1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)nc1C,4.8568929819376425,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)[nH]n1,4.588218970723179,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2[nH]nc3ncccc23)c2cccnc2)cc1,4.926483145366083,p4_picks
Cc1ocnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.534262640111682,p4_picks
CCn1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,5.017993339256804,p4_picks
CN(C)c1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)cn1,5.089662321175705,p4_picks
CCn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)cn1,4.722367054941398,p4_picks
Cc1ncc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)o1,4.716400561393434,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccncc2F)c2cccnc2)cc1,4.9721400238595255,p4_picks
COc1cccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.814933549522982,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2n[nH]c(C3CC3)n2)c2cccnc2)cc1,4.8592001181150835,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)no1,4.72384558144741,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccnnc2)c2cccnc2)cc1,5.199475967362587,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2cccnc2)cc1,5.091083445340473,p4_picks
Cc1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)cn1,4.615836770694437,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nncs2)c2cccnc2)cc1,4.612865723026632,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn3c(n2)SCC3)c2cccnc2)cc1,4.433867547293296,p4_picks
Cc1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)c(C)o1,4.790135645527419,p4_picks
Cc1nn(C)cc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.691421041849019,p4_picks
Cn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)cn1,4.571899792754648,p4_picks
CCn1cnnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.725495643255284,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nn[nH]n2)c2cccnc2)cc1,4.688898793677049,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn3cccnc3n2)c2cccnc2)cc1,4.946455179735317,p4_picks
Cc1nn(C)c(C)c1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.709597775055953,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ncccn2)c2cccnc2)cc1,5.108803865840584,p4_picks
Cc1[nH]cnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.588234297936811,p4_picks
