SMILES,predicted_pIC50,df
COCc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.2031081309462115,p4_picks
COCc1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.0095059810375355,p4_picks
COc1cc(C)nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.259599852650418,p4_picks
Cn1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.0840529778093755,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C3CC3)no2)c2cccnc2)cc1,4.970492143977513,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cn3c(n2)SCC3)c2cccnc2)cc1,4.759710916207735,p4_picks
Cc1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)nc1C,5.230537359708965,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n[nH]1,5.201962032439187,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2n[nH]c3ncccc23)c2cccnc2)cc1,5.150340264918948,p4_picks
Cc1ocnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.135922843824229,p4_picks
CCn1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.234235960847478,p4_picks
CN(C)c1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,4.676040113679527,p4_picks
CCn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.435281278680571,p4_picks
Cc1ncc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)o1,5.147668991212395,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccncc2F)c2cccnc2)cc1,5.1351337165392055,p4_picks
COc1cccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.538583872825442,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C3CC3)n[nH]2)c2cccnc2)cc1,5.102628783408434,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)no1,5.438082792331997,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccnnc2)c2cccnc2)cc1,5.175423207117252,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2cccnc2)cc1,4.876641626028791,p4_picks
Cc1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.107732839291118,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nncs2)c2cccnc2)cc1,5.342973171547482,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cn3c(n2)SCC3)c2cccnc2)cc1,4.759710916207735,p4_picks
Cc1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)c(C)o1,5.26894850831293,p4_picks
Cc1nn(C)cc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.077552498122822,p4_picks
Cn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.227098060244396,p4_picks
CCn1cnnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.1347293880803475,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nnn[nH]2)c2cccnc2)cc1,5.478014931843797,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cn3cccnc3n2)c2cccnc2)cc1,4.761016658116798,p4_picks
Cc1nn(C)c(C)c1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,4.926653634221859,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ncccn2)c2cccnc2)cc1,5.258656482898151,p4_picks
Cc1[nH]cnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.2815549084052416,p4_picks
CCn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)nn1,5.152332605841141,p4_picks
Cc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.218693180990885,p4_picks
Cc1oncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.0796715950411215,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2c[nH]cn2)c2cccnc2)cc1,5.218722810820698,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2c[nH]nn2)c2cccnc2)cc1,5.204155986174381,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccncn2)c2cccnc2)cc1,5.314550279462153,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc3c(s2)COCC3)c2cccnc2)cc1,5.012745469200371,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nnc3c(=O)n(C4CC4)ccn23)c2cccnc2)cc1,4.974593200401992,p4_picks
CC(C)c1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n(C)n1,4.883112928113864,p4_picks
COc1ccncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.364949422345927,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)nn1C,5.057637737220717,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccccc2S(C)(=O)=O)c2cccnc2)cc1,5.055465790789733,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(O)c(O)c2)c2cccnc2)cc1,4.979299939892391,p4_picks
CN1CCn2c(CCNC(=O)C(c3cccnc3)N(C(=O)c3cnc[nH]3)c3ccc(C(C)(C)C)cc3)nnc2C1=O,4.935501024885633,p4_picks
Cc1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)c[nH]1,5.33130369625483,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)[nH]n1,5.217390670367798,p4_picks
COc1nccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.116508300616598,p4_picks
Cn1ccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.271623389827977,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nnc3ccccn23)c2cccnc2)cc1,4.938476166843616,p4_picks
COc1ncc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.175760278215372,p4_picks
COc1ncc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.175760278215372,p4_picks
CNC(=O)c1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cc1,4.885474047862522,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cc[nH]n2)c2cccnc2)cc1,5.186148875231571,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nnc3n2CCNC3=O)c2cccnc2)cc1,4.918941974072269,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(S(=O)(=O)NC3CC3)cc2)c2cccnc2)cc1,5.0045193726845305,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nnc3c(=O)[nH]ccn23)c2cccnc2)cc1,4.930291632220007,p4_picks
Cn1ccn2c(CCNC(=O)C(c3cccnc3)N(C(=O)c3cnc[nH]3)c3ccc(C(C)(C)C)cc3)nnc2c1=O,4.995463722145449,p4_picks
CNS(=O)(=O)c1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cc1,4.9756218789408795,p4_picks
